variable,group
landuse_croplands_polygon_tr_Europe,19
landuse_croplands_polygon_tr_Southern_Asia,19
landuse_croplands_polygon_tr_South_America,19
landuse_croplands_polygon_tr_Northern_America,19
landuse_croplands_polygon_tr_Africa,19
landuse_croplands_polygon_tr_South-Eastern_Asia,19
landuse_croplands_polygon_tr_Arab,19
landuse_croplands_polygon_tr_Asia,19
landuse_croplands_polygon_tr_Central_America,19
landuse_croplands_polygon_tr_Australia_and_New_Zealand,19
landuse_pasture_polygon_tr_Western_Africa,21
landuse_pasture_polygon_tr_Oceania,21
landuse_pasture_polygon_tr_Europe,21
landuse_pasture_polygon_tr_Southern_Asia,21
landuse_pasture_polygon_tr_South_America,21
landuse_pasture_polygon_tr_Northern_America,21
landuse_pasture_polygon_tr_Africa,21
landuse_pasture_polygon_tr_South-Eastern_Asia,21
landuse_pasture_polygon_tr_Arab,21
landuse_pasture_polygon_tr_Asia,21
landuse_pasture_polygon_tr_Central_America,21
landuse_pasture_polygon_tr_Australia_and_New_Zealand,21
landuse_pop.density_polygon_tr_Western_Africa,19
landuse_pop.density_polygon_tr_Oceania,19
landuse_pop.density_polygon_tr_Europe,19
landuse_pop.density_polygon_tr_Southern_Asia,19
landuse_pop.density_polygon_tr_South_America,19
landuse_pop.density_polygon_tr_Northern_America,19
landuse_pop.density_polygon_tr_Africa,19
landuse_pop.density_polygon_tr_South-Eastern_Asia,19
landuse_pop.density_polygon_tr_Arab,19
landuse_pop.density_polygon_tr_Asia,19
landuse_pop.density_polygon_tr_Central_America,19
landuse_pop.density_polygon_tr_Australia_and_New_Zealand,19
shift_hfp.change_polygon_tr_Western_Africa,19
shift_hfp.change_polygon_tr_Oceania,19
shift_hfp.change_polygon_tr_Europe,19
shift_hfp.change_polygon_tr_Southern_Asia,19
shift_hfp.change_polygon_tr_South_America,19
shift_hfp.change_polygon_tr_Northern_America,19
shift_hfp.change_polygon_tr_Africa,19
shift_hfp.change_polygon_tr_South-Eastern_Asia,19
shift_hfp.change_polygon_tr_Arab,19
shift_hfp.change_polygon_tr_Asia,19
shift_hfp.change_polygon_tr_Central_America,19
shift_hfp.change_polygon_tr_Australia_and_New_Zealand,19
shift_built.change_polygon_tr_Western_Africa,20
shift_built.change_polygon_tr_Oceania,20
shift_built.change_polygon_tr_Europe,20
shift_built.change_polygon_tr_Southern_Asia,20
shift_built.change_polygon_tr_South_America,20
shift_built.change_polygon_tr_Northern_America,20
shift_built.change_polygon_tr_Africa,20
shift_built.change_polygon_tr_South-Eastern_Asia,20
shift_built.change_polygon_tr_Arab,20
shift_built.change_polygon_tr_Asia,20
shift_built.change_polygon_tr_Central_America,20
shift_built.change_polygon_tr_Australia_and_New_Zealand,20
shift_croplands.change_polygon_tr_Western_Africa,19
shift_croplands.change_polygon_tr_Oceania,19
