"","ISO","Language.Name","Altitude","Area","Bordering.languages","Bordering.languages.km","Extended","L1.pop","Polysynthetic","Roughness","Small.family","Vehicularity"
"96","afz","Obokuitai",1396.417938,529.873644,6,0.052688282,0,120,0,6.374885559,0,0
"97","agb","Legbo",348.8528137,160.9903752,6,0.085948119,0,60000,0,4.741388559,0,0
"98","agc","Agatu",506.0942841,3863.452881,8,0.024709899,0,70000,0,5.171826363,0,0
"99","agd","Agarabi",1916.283508,524.6929993,3,0.033620676,0,27000,0,6.958115339,0,0
"100","age","Angal",1966.779867,428.7335382,6,0.065893663,0,18600,0,6.307500839,0,0
"101","agf","Arguni",523.0792236,3.009544341,0,0,0,150,0,5.794586897,0,0
"102","agg","Angor",988.9312134,219.4425312,4,0.056139344,0,1270,0,6.103123665,1,0
"103","agh","Ngelima",138.8135529,19305.80534,10,0.013263813,0,13600,0,4.19657135,0,0
"104","agj","Argobba",1792.276489,696.1786971,3,0.016588512,0,43700,0,6.531111002,0,0
"105","agk","Isarog Agta",202.9966202,85.15415824,1,0.028236119,0,5,0,5.290183783,0,0
"106","agl","Fembe",2471.141968,567.1146596,5,0.049798086,0,350,0,6.605589628,0,0
"107","agm","Angaataha",1774.098022,536.0158622,7,0.050950562,0,2100,0,7.179609299,0,0
"108","agn","Agutaynen",245.3163223,213.3680521,3,0.014153155,0,15000,0,5.4286201,0,0
"109","ago","Tainae",1690.902893,1002.628524,4,0.033018013,0,1000,0,6.805873156,0,0
"110","agq","Aghem",1106.72113,184.8619647,7,0.130828521,0,26700,0,5.925098896,0,0
"111","agr","Aguaruna",2402.681641,33309.92448,5,0.005303243,0,38300,0,6.997346878,0,0
"112","ags","Esimbi",1106.72113,860.7969833,9,0.068322449,0,20000,0,5.925098896,0,0
"113","agt","Central Cagayan Agta",777.3690186,244.0903272,3,0.045887495,0,780,0,6.308967113,0,0
"114","agu","Aguacateco",1862.024902,281.8824847,2,0.027677672,0,18000,0,6.797534943,0,0
"115","agv","Hatang Kayi",498.1347046,1006.160101,2,0.013588546,0,2530,0,5.801852703,0,0
"116","agw","Kahua",258.8673553,440.6759596,2,0.01712609,0,5170,0,5.491660595,0,0
"117","agx","Aghul",2643.784424,532.9881666,3,0.024161673,0,29300,0,7.20380497,0,0
"118","agy","Southern Alta",693.0326335,100.7531377,1,0.024817525,0,1000,0,6.138188998,0,0
"119","agz","Mt. Iriga Agta",202.9966202,190.346852,5,0.090594896,0,1500,0,5.290183783,0,0
"120","aha","Ahanta",221.3975677,570.441696,3,0.023864406,0,142000,0,4.461201668,0,0
"121","ahb","Axamb",194.9789124,82.59505168,3,0.066248944,0,750,0,5.632886171,0,0
"122","ahg","Qimant",1331.428955,1208.70613,1,0.00699414,0,1650,0,6.21700573,0,0
"123","ahh","Aghu",1158.072285,2856.224917,5,0.023756755,0,3000,0,4.179676354,0,0
"124","ahi","Tiagbamrin Aizi",170.2126007,156.4448446,4,0.074871039,0,9000,0,4.189496994,0,0
"125","ahk","Akha",693.9308167,11525.64081,27,0.013901902,0,563960,0,6.153100252,0,1
"126","ahl","Igo",461.5729065,88.38544923,7,0.162360803,0,6000,0,5.104887962,0,0
"127","ahm","Mobumrin Aizi",170.2126007,14.52879062,1,0.07066231,0,2000,0,4.189496994,0,0
"128","ahn","Àhàn",349.9607239,180.0434748,4,0.059218164,0,300,0,4.972217719,0,0
"129","aho","Ahom",2267.704285,215.9917817,0,0,0,0,0,6.077709556,0,0
"130","ahp","Aproumu Aizi",170.2126007,320.4309862,3,0.026551922,0,6500,0,4.189496994,0,0
"131","ahs","Ashe",684.9346924,448.5252525,6,0.038805677,0,40000,0,5.532274246,0,0
"132","aht","Ahtena",760.0266113,12864.44667,0,0,1,80,1,6.578912258,0,0
"133","aia","Arosi",301.1351166,545.1504218,1,0.00813658,0,6750,0,5.628726959,0,0
"134","aib","Ainu (China)",2704.719482,199.5861315,0,0,0,6570,0,6.586735249,0,0
"135","aic","Ainbai",589.8666229,71.50475045,2,0.058224924,0,100,0,6.021802902,0,0
"136","aid","Alngith",104.0108204,4617.670332,4,0.007953799,0,0,0,4.132860184,0,0
"137","aie","Amara",613.0570679,103.2216033,3,0.052560482,0,230,0,6.149116993,0,0
"138","aif","Agi",798.9605103,52.88541489,7,0.248955601,0,960,0,5.861983538,0,0
"139","aih","Ai-Cham",570.6807022,117.1539026,2,0.045739184,0,2700,0,5.678006172,0,0
"140","aii","Assyrian Neo-Aramaic",1825.957886,2508.402887,6,0.015182169,0,75000,0,6.437617779,0,0
"141","aik","Ake",694.4057515,148.583392,2,0.04061461,0,3000,0,5.227744102,0,0
